district,Accepted Date,Successfully Completed Date,Diversion Case Type
06,2022-12-05,2023-02-23,Adult
06,2022-12-05,2023-02-23,Adult
06,2022-12-05,2023-02-23,Adult
06,2022-12-05,2023-02-23,Adult
06,2022-12-07,2023-03-08,Adult
06,2022-12-05,2023-03-08,Adult
06,2023-02-10,2023-03-08,Adult
06,2023-03-01,2023-03-08,Adult
06,2023-01-11,2023-03-08,Adult
06,2022-12-05,2023-03-08,Adult
06,2023-02-10,2023-03-08,Adult
06,2023-01-11,2023-03-08,Adult
06,2023-03-01,2023-03-08,Adult
06,2022-12-05,2023-03-09,Adult
06,2022-12-05,2023-03-20,Adult
06,2023-03-20,2023-03-20,Adult
06,2022-12-05,2023-03-20,Adult
06,2022-12-05,2023-03-20,Adult
06,2023-03-20,2023-03-20,Adult
06,2022-12-05,2023-03-20,Adult
06,2023-03-22,2023-03-27,Adult
06,2023-03-22,2023-03-27,Adult
06,2023-03-08,2023-04-03,Adult
06,2022-12-05,2023-04-03,Adult
06,2022-12-05,2023-04-03,Adult
06,2023-03-08,2023-04-03,Adult
06,2022-12-05,2023-04-03,Adult
06,2023-02-16,2023-04-07,Adult
06,2023-01-04,2023-04-07,Adult
06,2023-01-25,2023-04-07,Adult
06,2023-02-16,2023-04-07,Adult
06,2023-01-25,2023-04-07,Adult
06,2023-01-04,2023-04-07,Adult
06,2022-12-05,2023-04-07,Adult
06,2022-12-05,2023-04-11,Adult
06,2022-12-05,2023-04-11,Adult
06,2022-12-08,2023-04-11,Adult
06,2022-12-06,2023-05-04,Adult
06,2023-03-30,2023-05-04,Adult
06,2022-12-05,2023-05-04,Adult
06,2022-12-05,2023-05-04,Adult
06,2022-12-05,2023-05-04,Adult
06,2023-02-14,2023-05-04,Adult
06,2023-03-22,2023-05-04,Adult
06,2022-12-05,2023-05-04,Adult
06,2022-12-05,2023-05-04,Adult
06,2022-12-05,2023-05-04,Adult
06,2023-04-06,2023-05-04,Adult
06,2022-12-05,2023-05-04,Adult
06,2023-03-30,2023-05-04,Adult
06,2023-03-01,2023-05-04,Adult
06,2023-02-22,2023-05-04,Adult
06,2023-03-22,2023-05-04,Adult
06,2023-02-14,2023-05-04,Adult
06,2023-04-06,2023-05-04,Adult
06,2023-03-01,2023-05-04,Adult
06,2023-02-22,2023-05-04,Adult
06,2023-03-15,2023-05-15,Adult
06,2023-03-15,2023-05-15,Adult
06,2022-12-05,2023-05-30,Adult
06,2023-03-01,2023-06-01,Adult
06,2023-03-01,2023-06-01,Adult
06,2023-04-12,2023-06-26,Adult
06,2023-04-12,2023-06-26,Adult
06,2022-12-05,2023-08-17,Adult
06,2023-01-11,2023-08-28,Adult
06,2023-01-11,2023-08-28,Adult
06,2023-01-31,2023-09-06,Adult
06,2023-05-10,2023-09-06,Adult
06,2023-03-29,2023-09-06,Adult
06,2023-03-22,2023-09-06,Adult
06,2023-05-10,2023-09-06,Adult
06,2023-04-04,2023-09-06,Adult
06,2023-05-10,2023-09-06,Adult
06,2022-12-05,2023-09-06,Adult
06,2023-01-31,2023-09-06,Adult
06,2023-05-10,2023-09-06,Adult
06,2023-03-22,2023-09-06,Adult
06,2023-03-29,2023-09-06,Adult
06,2022-12-05,2023-09-06,Adult
06,2023-04-04,2023-09-06,Adult
06,2022-12-05,2023-09-15,Adult
06,2022-12-06,2023-09-20,Adult
06,2022-12-05,2023-09-22,Adult
06,2023-09-12,2023-09-26,Juvenile
06,2022-12-05,2023-09-26,Adult
06,2023-05-09,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2023-03-28,2023-09-26,Adult
06,2023-02-02,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2023-03-08,2023-09-26,Adult
06,2023-03-08,2023-09-26,Adult
06,2023-02-02,2023-09-26,Adult
06,2023-09-12,2023-09-26,Juvenile
06,2023-05-09,2023-09-26,Adult
06,2023-04-18,2023-09-26,Adult
06,2023-02-10,2023-09-26,Adult
06,2023-04-18,2023-09-26,Adult
06,2023-03-28,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2023-02-10,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2023-04-18,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2022-12-06,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2022-12-05,2023-09-26,Adult
06,2023-04-18,2023-09-26,Adult
06,2022-12-05,2023-10-12,Adult
06,2023-06-08,2023-10-17,Adult
06,2023-06-08,2023-10-17,Adult
06,2023-09-19,2023-10-19,Adult
06,2023-09-19,2023-10-19,Adult
06,2022-12-05,2023-10-23,Adult
06,2023-04-20,2023-10-25,Adult
06,2023-04-20,2023-10-25,Adult
06,2023-03-14,2023-11-14,Adult
06,2023-03-14,2023-11-14,Adult
06,2023-10-17,2023-11-16,Adult
06,2023-02-01,2023-11-16,Adult
06,2023-10-17,2023-11-16,Adult
06,2022-12-05,2023-11-16,Adult
06,2023-02-01,2023-11-16,Adult
06,2023-09-06,2023-12-05,Adult
06,2023-09-06,2023-12-05,Adult
06,2022-12-05,2023-12-07,Adult
06,2022-12-05,2023-12-07,Adult
06,2023-02-14,2024-01-03,Adult
06,2022-12-05,2024-01-03,Adult
06,2022-12-05,2024-01-03,Adult
06,2023-02-14,2024-01-03,Adult
